City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Dingle,PH,75.92,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
255,Nokaneng,BW,72.59,light rain,-19.6667,22.2667,
256,Matara,LK,76.42,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
259,Eten,PE,71.85,clear sky,-6.9081,-79.8642,Hotel Las Brisas del Puerto
260,Madingou,CG,75.22,light rain,-4.1536,13.55,HOTEL KIM ELISA
261,La Palma,US,67.77,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
262,Hamilton,US,75.4,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
264,Gat,IL,68.81,broken clouds,31.61,34.7642,OlusHome
266,Prestea,GH,77.72,moderate rain,5.4327,-2.1428,Channel 5
271,Oyem,GA,68.27,light rain,1.5995,11.5793,Commissariat de police
272,Normal,US,72.34,overcast clouds,40.5142,-88.9906,"Holiday Inn Express & Suites Bloomington - Normal, an IHG Hotel"
274,Yenagoa,NG,78.37,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
276,Asyut,EG,73.58,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
280,Darab,IR,65.53,broken clouds,28.7519,54.5444,Naghshe shapoor Hotel
283,Nuzvid,IN,77.85,clear sky,16.7833,80.85,HI-TECH LODGE
284,Ambilobe,MG,73.54,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
287,Elat,IL,75.04,haze,29.5581,34.9482,Club Hotel Eilat
290,Jijiga,ET,71.01,overcast clouds,9.35,42.8,RAMAAS HOTEL
291,Ponta Do Sol,PT,75.0,scattered clouds,32.6667,-17.1,Hotel do Campo
293,Rengali,IN,68.14,clear sky,21.6333,84.05,Ayush tiffin
294,Necochea,AR,74.08,clear sky,-38.5473,-58.7368,dyd -mar Hotel
295,Kasese,UG,67.68,overcast clouds,0.1833,30.0833,Sandton Hotel Kasese
296,Awbari,LY,68.5,clear sky,26.5921,12.7805,استراحة الشارب العائلي
299,Shelburne,CA,68.76,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
303,Fougamou,GA,74.5,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
304,Saint-Leu,RE,74.26,broken clouds,-21.15,55.2833,La Caz Oceane
308,Mumbwa,ZM,67.93,moderate rain,-14.9783,27.0619,Mumbwa Motel
311,Riyadh,SA,75.34,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
315,Salumbar,IN,76.53,clear sky,24.1333,74.05,chatra chaya guest house
316,Kismayo,SO,78.53,overcast clouds,-0.3582,42.5454,Agan-Hotel
317,Ambovombe,MG,71.01,overcast clouds,-25.1667,46.0833,RELAHARA
319,Havelock,US,78.98,scattered clouds,34.8791,-76.9013,Sherwood Motel
324,Cuamba,MZ,75.31,overcast clouds,-14.8031,36.5372,Hotel Vision
327,Calama,CL,73.89,clear sky,-22.4667,-68.9333,Park Hotel Calama
